player_name,game_date,opponent,home_away,result,minutes,points,rebounds,assists,steals,blocks,turnovers,fg_made,fg_attempted,fg3_made,fg3_attempted,ft_made,ft_attempted,plus_minus,pra
Buddy Hield,"Jan 28, 2026",UTA,AWAY,W,17,13,3,4,0,0,1,5,8,3,6,0,0,-11,20
Buddy Hield,"Jan 26, 2026",MIN,AWAY,L,29,5,2,3,1,1,1,2,10,1,4,0,2,-20,10
Buddy Hield,"Jan 25, 2026",MIN,AWAY,W,17,4,2,0,0,1,1,2,5,0,3,0,0,11,6
Buddy Hield,"Jan 22, 2026",DAL,AWAY,L,15,6,1,1,1,1,0,2,7,1,5,1,1,-2,8
Buddy Hield,"Jan 20, 2026",TOR,HOME,L,19,25,1,2,1,0,0,7,8,6,6,5,5,10,28
Buddy Hield,"Jan 19, 2026",MIA,HOME,W,23,16,4,2,1,0,0,6,9,4,7,0,0,6,22
Buddy Hield,"Jan 17, 2026",CHA,HOME,W,18,14,3,1,2,3,0,5,8,2,5,2,2,10,18
Buddy Hield,"Jan 13, 2026",POR,HOME,W,6,3,1,0,1,0,1,1,4,0,1,1,2,-6,4
Buddy Hield,"Jan 11, 2026",ATL,HOME,L,7,0,1,1,0,0,0,0,1,0,1,0,0,-7,2
Buddy Hield,"Jan 09, 2026",SAC,HOME,W,4,6,3,1,0,0,0,2,4,2,4,0,0,5,10
Buddy Hield,"Jan 02, 2026",OKC,HOME,L,24,11,2,1,2,0,2,4,11,3,9,0,0,-18,14
Buddy Hield,"Dec 29, 2025",BKN,AWAY,W,11,6,3,0,2,1,0,3,5,0,2,0,0,3,9
Buddy Hield,"Dec 28, 2025",TOR,AWAY,L,14,3,3,1,0,0,1,1,2,1,2,0,0,1,7
Buddy Hield,"Dec 22, 2025",ORL,HOME,W,3,3,3,0,0,0,1,1,1,1,1,0,0,2,6
Buddy Hield,"Dec 18, 2025",PHX,AWAY,L,10,3,0,0,0,0,2,1,2,1,1,0,0,0,3
