player_name,game_date,opponent,home_away,result,minutes,points,rebounds,assists,steals,blocks,turnovers,fg_made,fg_attempted,fg3_made,fg3_attempted,ft_made,ft_attempted,plus_minus,pra
Stephen Curry,"Jan 28, 2026",UTA,AWAY,W,28,27,1,2,2,0,5,7,14,4,10,9,10,16,30
Stephen Curry,"Jan 25, 2026",MIN,AWAY,W,28,26,2,7,4,0,2,7,18,3,10,9,9,16,35
Stephen Curry,"Jan 22, 2026",DAL,AWAY,L,34,38,4,1,0,0,2,14,27,8,15,2,2,-24,43
Stephen Curry,"Jan 20, 2026",TOR,HOME,L,25,16,3,3,1,0,1,6,16,2,7,2,3,-25,22
Stephen Curry,"Jan 19, 2026",MIA,HOME,W,28,19,3,11,0,0,3,6,13,5,10,2,2,3,33
Stephen Curry,"Jan 17, 2026",CHA,HOME,W,30,14,3,5,0,0,3,6,12,2,8,0,0,2,22
Stephen Curry,"Jan 15, 2026",NYK,HOME,W,34,27,3,7,1,1,3,10,17,4,9,3,3,3,37
Stephen Curry,"Jan 13, 2026",POR,HOME,W,25,7,4,11,1,0,1,2,9,2,8,1,1,8,22
Stephen Curry,"Jan 11, 2026",ATL,HOME,L,33,31,3,5,0,0,3,11,21,3,11,6,6,-9,39
Stephen Curry,"Jan 09, 2026",SAC,HOME,W,32,27,0,10,1,2,2,10,21,6,12,1,1,14,37
Stephen Curry,"Jan 07, 2026",MIL,HOME,W,34,31,6,7,0,0,1,12,21,3,9,4,5,16,44
Stephen Curry,"Jan 05, 2026",LAC,AWAY,L,34,27,4,6,3,0,1,9,23,4,15,5,5,5,37
Stephen Curry,"Jan 03, 2026",UTA,HOME,W,34,31,2,5,1,0,2,8,18,6,12,9,9,5,38
Stephen Curry,"Dec 31, 2025",CHA,AWAY,W,33,26,2,4,0,1,5,9,16,5,10,3,3,11,32
Stephen Curry,"Dec 29, 2025",BKN,AWAY,W,29,27,2,5,1,0,2,8,15,5,12,6,7,-6,34
