player_name,game_date,opponent,home_away,result,minutes,points,rebounds,assists,steals,blocks,turnovers,fg_made,fg_attempted,fg3_made,fg3_attempted,ft_made,ft_attempted,plus_minus,pra
Duncan Robinson,"Jan 29, 2026",PHX,AWAY,L,30,9,1,1,1,0,0,4,11,1,6,0,0,-3,11
Duncan Robinson,"Jan 27, 2026",DEN,AWAY,W,23,2,3,3,0,0,0,1,9,0,8,0,0,4,8
Duncan Robinson,"Jan 25, 2026",SAC,HOME,W,24,13,0,1,0,0,1,5,9,3,6,0,0,10,14
Duncan Robinson,"Jan 23, 2026",HOU,HOME,L,26,9,2,0,0,1,1,2,8,2,8,3,5,-15,11
Duncan Robinson,"Jan 21, 2026",NOP,AWAY,W,29,15,4,3,1,1,2,5,11,4,9,1,2,20,22
Duncan Robinson,"Jan 19, 2026",BOS,HOME,W,32,15,3,2,1,1,0,5,13,5,11,0,0,-4,20
Duncan Robinson,"Jan 17, 2026",IND,HOME,W,22,16,2,2,0,0,1,6,9,4,6,0,0,40,20
Duncan Robinson,"Jan 15, 2026",PHX,HOME,W,27,19,1,0,0,1,0,7,12,4,7,1,3,12,20
Duncan Robinson,"Jan 10, 2026",LAC,HOME,L,28,20,2,1,0,0,3,7,10,5,7,1,2,1,23
Duncan Robinson,"Jan 07, 2026",CHI,HOME,W,23,12,1,1,0,1,1,4,9,4,7,0,0,-1,14
Duncan Robinson,"Jan 05, 2026",NYK,HOME,W,21,9,5,0,1,0,1,3,8,2,6,1,1,25,14
Duncan Robinson,"Jan 04, 2026",CLE,AWAY,W,30,12,2,3,2,0,1,5,11,2,6,0,0,5,17
Duncan Robinson,"Jan 01, 2026",MIA,HOME,L,20,9,2,2,0,0,1,3,7,1,5,2,2,-10,13
Duncan Robinson,"Dec 30, 2025",LAL,AWAY,W,28,6,2,4,0,0,0,2,5,1,4,1,2,4,12
Duncan Robinson,"Dec 28, 2025",LAC,AWAY,L,27,5,4,0,0,1,0,1,6,1,6,2,2,-15,9
