player_name,game_date,opponent,home_away,result,minutes,points,rebounds,assists,steals,blocks,turnovers,fg_made,fg_attempted,fg3_made,fg3_attempted,ft_made,ft_attempted,plus_minus,pra
Cade Cunningham,"Jan 29, 2026",PHX,AWAY,L,34,26,3,7,3,0,2,8,22,2,9,8,10,-5,36
Cade Cunningham,"Jan 27, 2026",DEN,AWAY,W,36,22,3,11,0,1,0,9,17,1,4,3,4,1,36
Cade Cunningham,"Jan 25, 2026",SAC,HOME,W,30,29,5,11,3,1,5,13,22,3,5,0,1,18,45
Cade Cunningham,"Jan 23, 2026",HOU,HOME,L,38,12,1,8,2,1,6,5,13,0,4,2,3,-10,21
Cade Cunningham,"Jan 19, 2026",BOS,HOME,W,40,16,3,14,1,2,0,4,17,0,4,8,10,1,33
Cade Cunningham,"Jan 17, 2026",IND,HOME,W,21,16,3,5,0,0,2,6,14,2,3,2,2,31,24
Cade Cunningham,"Jan 15, 2026",PHX,HOME,W,38,10,4,11,0,1,5,3,16,0,7,4,9,9,25
Cade Cunningham,"Jan 05, 2026",NYK,HOME,W,29,29,3,13,1,2,5,11,17,3,4,4,5,23,45
Cade Cunningham,"Jan 04, 2026",CLE,AWAY,W,37,27,6,7,2,1,1,7,22,2,5,11,11,-4,40
Cade Cunningham,"Jan 01, 2026",MIA,HOME,L,40,31,8,11,3,2,7,6,16,2,6,17,18,6,50
Cade Cunningham,"Dec 30, 2025",LAL,AWAY,W,33,27,5,11,1,0,5,12,19,1,4,2,2,23,43
Cade Cunningham,"Dec 28, 2025",LAC,AWAY,L,32,27,5,9,0,0,3,9,18,3,7,6,7,-6,41
Cade Cunningham,"Dec 26, 2025",UTA,AWAY,L,37,29,5,17,2,2,4,10,19,3,6,6,9,-1,51
Cade Cunningham,"Dec 23, 2025",SAC,AWAY,W,39,23,7,14,5,0,9,8,15,2,5,5,6,7,44
Cade Cunningham,"Dec 22, 2025",POR,AWAY,W,26,14,6,9,1,0,5,6,9,1,2,1,2,11,29
