player_name,game_date,opponent,home_away,result,minutes,points,rebounds,assists,steals,blocks,turnovers,fg_made,fg_attempted,fg3_made,fg3_attempted,ft_made,ft_attempted,plus_minus,pra
Cam Thomas,"Jan 27, 2026",PHX,AWAY,L,25,11,3,3,0,0,2,4,10,0,2,3,5,0,17
Cam Thomas,"Jan 23, 2026",BOS,HOME,L,19,7,2,4,0,0,3,2,8,0,2,3,4,-1,13
Cam Thomas,"Jan 21, 2026",NYK,AWAY,L,16,5,1,2,0,0,0,1,6,1,5,2,2,-20,8
Cam Thomas,"Jan 18, 2026",CHI,AWAY,L,24,3,3,10,0,0,1,1,6,0,2,1,2,-14,16
Cam Thomas,"Jan 16, 2026",CHI,HOME,W,25,8,1,4,0,0,1,3,13,2,5,0,0,4,13
Cam Thomas,"Jan 14, 2026",NOP,AWAY,L,24,16,1,5,0,0,1,6,15,2,5,2,2,-8,22
Cam Thomas,"Jan 11, 2026",MEM,AWAY,L,24,9,2,3,0,0,1,4,12,1,4,0,0,6,14
Cam Thomas,"Jan 09, 2026",LAC,HOME,L,22,13,1,1,0,0,4,5,13,2,5,1,1,-12,15
Cam Thomas,"Jan 07, 2026",ORL,HOME,L,24,10,5,4,0,1,3,3,11,1,5,3,4,-10,19
Cam Thomas,"Jan 04, 2026",DEN,HOME,W,22,17,4,1,0,0,1,5,10,1,3,6,8,-4,22
