pick_id,game_date,player,team,opponent,stat,line,direction,probability,tier,actual_value,outcome,added_utc,league,source
,,Tyrese Maxey,,,points,27.5,lower,28.5,,,,,nba,
,,Evan Mobley,,,blocks,1.5,higher,,,,,,nba,
,,Vince Edgecombe,,,steals,1.5,higher,,,,,,nba,
,,DeAndre Hunter,,,assists,1.5,higher,,,,,,nba,
,,Evan Mobley,,,3pm,1.5,lower,,,,,,nba,
,,Joel Embiid,,,3pm,1.5,lower,,,,,,nba,
,,Kelly Oubre,,,3pm,1.5,lower,,,,,,nba,
,,Julius Randle,,,points,23.5,lower,,,,,,nba,
,,Bones Hyland,,,points,11.5,lower,,,,,,nba,
,,Rudy Gobert,,,rebounds,10.5,higher,,,,,,nba,
,,Kevin Durant,,,points,25.5,higher,,,,,,nba,
,,Amen Thompson,,,points,17.5,higher,37.2,,,,,nba,
,,Lu Dort,,,3pm,1.5,higher,,,,,,nba,
,,Amen Thompson,,,3pm,0.5,higher,28.3,,,,,nba,
,,Shai Gilgeous-Alexander,,,rebounds,3.5,higher,56.5,,,,,nba,
,,Jalen Williams,,,3pm,0.5,higher,,,,,,nba,
,,Kevin Durant,,,3pm,2.5,higher,,,,,,nba,
,,Royce ONeale,,,points,9.5,higher,,,,,,nba,
,,Dillon Brooks,,,points,21.5,higher,,,,,,nba,
,,Collin Gillespie,,,points,14.5,lower,,,,,,nba,
,,Tobias Harris,,,3pm,1.5,higher,,,,,,nba,
,,Jaren Jackson Jr,,,points,19.5,higher,,,,,,nba,
,,Desmond Bane,,,3pm,1.5,lower,,,,,,nba,
,,Franz Wagner,,,pts+reb+ast,23.5,higher,,,,,,nba,
,,Anthony Black,,,points,15.5,higher,,,,,,nba,
,,Jalen Brunson,,,rebounds,3.5,lower,,,,,,nba,
,,DeMar DeRozan,,,pts+reb+ast,26.5,higher,,,,,,nba,
,,Jamal Murray,,,points,25.5,higher,,,,,,nba,
,,Karl-Anthony Towns,,,points,20.5,higher,,,,,,nba,
,,Paul George,,,assists,3.5,higher,,,,,,nba,
,,Brandon Ingram,,,assists,3.5,higher,,,,,,nba,
,,Joel Embiid,,,rebounds,8.5,higher,,,,,,nba,
,,Nic Claxton,,,rebounds,7.5,higher,,,,,,nba,
,,Stephen Curry,,,rebounds,3.5,higher,,,,,,nba,
,,Bam Adebayo,,,assists,2.5,higher,,,,,,nba,
,,Zion Williamson,,,assists,4.5,lower,,,,,,nba,
,,Chet Holmgren,,,assists,1.5,higher,,,,,,nba,
,,Andrew Wiggins,,,points,13.5,higher,,,,,,nba,
,,Joel Embiid,,,rebounds,8.5,higher,,,,,,nba,
,,James Harden,,,assists,8.5,higher,,,,,,nba,
,,Stephen Curry,,,points,28.5,lower,,,,,,nba,
,,Giannis Antetokounmpo,,,points,30.5,higher,,,,,,nba,
,,Anthony Davis,,,points,12.5,higher,,,,,,nba,
,,Cooper Flagg,,,3pm,0.5,higher,55.3,,,,,nba,
,,Julius Randle,,,rebounds,7.5,higher,,,,,,nba,
,,LaMelo Ball,,,assists,6.5,higher,,,,,,nba,
,,Anthony Edwards,,,assists,3.5,higher,,,,,,nba,
,,Kevin Durant,,,pts+reb+ast,38.5,higher,,,,,,nba,
,,Al Horford,,,assists,1.5,higher,,,,,,nba,
,,Dorian Finney-Smith,,,points,3.5,higher,,,,,,nba,
,,Deni Avdija,,,3pm,2.5,higher,,,,,,nba,
,,F. R Gobert,,,rebounds,10.5,higher,,,,,,nba,
,,K. Durant,,,points,25.5,higher,,,,,,nba,
,,A. Thompson,,,points,17.5,lower,,,,,,nba,
,,J Clarkson,,,points,8.5,higher,,,,,,nba,
,,S. Curry,,,pts+reb+ast,37.5,lower,,,,,,nba,
,,M Bridges,,,3pm,1.5,higher,,,,,,nba,
,,J. Randle,,,rebounds,7.5,higher,,,,,,nba,
,,n K Durant,,,pts+reb+ast,38.5,higher,,,,,,nba,
,,D Avdija,,,3pm,2.5,lower,,,,,,nba,
,,A. Green,,,rebounds,2.5,lower,,,,,,nba,
,,L Dort,,,3pm,1.5,higher,,,,,,nba,
,,Neale,,,points,9.5,higher,,,,,,nba,
,,D Brooks,,,points,21.5,lower,,,,,,nba,
,,C. Gillespie,,,points,14.5,higher,,,,,,nba,
,,J. Jackson,,,points,19.5,higher,,,,,,nba,
,,F. Wagner,,,pts+reb+ast,23.5,higher,,,,,,nba,
,,A. Black,,,points,15.5,higher,,,,,,nba,
,,D DeRozan,,,pts+reb+ast,26.5,higher,,,,,,nba,
,,J. Murray,,,points,25.5,higher,,,,,,nba,
,,K. Towns,,,points,20.5,lower,,,,,,nba,
,,P. George,,,assists,3.5,higher,,,,,,nba,
,,B. Ingram,,,assists,3.5,higher,,,,,,nba,
,,Z. Williamson,,,assists,3.5,lower,,,,,,nba,
,,K. Towns,,,points,21.5,lower,,,,,,nba,
,,S. Curry,,,rebounds,3.5,higher,,,,,,nba,
,,B. Adebayo,,,assists,2.5,higher,,,,,,nba,
,,Z. Williamson,,,assists,4.5,lower,,,,,,nba,
,,S. Curry,,,points,28.5,lower,,,,,,nba,
,,Gs Antetokounmpo,,,points,30.5,lower,,,,,,nba,
,,A. Davis,,,1h_points,12.5,higher,,,,,,nba,
,,C.Flagg,,,3pm,0.5,higher,,,,,,nba,
,,L Ball,,,assists,6.5,higher,,,,,,nba,
,,A. Horford,,,points,11.5,higher,,,,,,nba,
,,S. Curry,,,3pm,4.5,lower,,,,,,nba,
,,L Ball,,,assists,6.5,lower,,,,,,nba,
