name,sg_total,sg_ott,sg_app,sg_arg,sg_putt,scoring_avg
Scottie Scheffler,2.73,0.85,1.15,0.35,0.38,68.21
Xander Schauffele,2.18,0.62,0.92,0.28,0.36,68.74
Rory McIlroy,2.05,0.95,0.72,0.15,0.23,68.91
Collin Morikawa,1.82,0.18,1.12,0.22,0.30,69.12
Patrick Cantlay,1.68,0.25,0.72,0.35,0.36,69.28
Hideki Matsuyama,1.52,0.48,0.68,0.21,0.15,69.42
Cameron Young,1.45,0.82,0.42,-0.05,0.26,69.55
Viktor Hovland,1.38,0.55,0.65,0.12,0.06,69.62
Jon Rahm,1.95,0.72,0.75,0.25,0.23,68.85
Wyndham Clark,1.35,0.68,0.45,0.08,0.14,69.65
Max Homa,1.28,0.52,0.48,0.15,0.13,69.72
Ludvig Aberg,1.55,0.75,0.58,0.12,0.10,69.35
Tony Finau,1.22,0.65,0.38,0.08,0.11,69.78
Russell Henley,0.92,0.08,0.52,0.18,0.14,70.08
Justin Thomas,1.15,0.42,0.55,0.05,0.13,69.85
Sam Burns,1.02,0.35,0.45,0.12,0.10,70.02
Sepp Straka,0.85,0.42,0.28,0.08,0.07,70.15
Brian Harman,0.72,0.05,0.35,0.22,0.10,70.28
Sahith Theegala,0.95,0.48,0.32,0.05,0.10,70.05
Sungjae Im,0.82,0.25,0.35,0.12,0.10,70.18
