date,sport,ticket,player,stat,line,direction,result,is_win,is_loss,is_pending,notes
2026-02-05,NBA,NBA Props,C. Gillespie,,,,WIN,1,0,0,
2026-02-05,NBA,NBA Props,G. Santos,,,,WIN,1,0,0,
2026-02-05,NBA,NBA Props,Al Horford,,,,LOSS,0,1,0,
2026-02-05,NBA,NBA Props,Kris Dunn,,,,WIN,1,0,0,
2026-02-05,NBA,NBA Props,Derrick Jones Jr.,,,,LOSS,0,1,0,
2026-02-05,NBA,NBA Props,Thomas Bryant,,,,LOSS,0,1,0,
2026-02-05,TENNIS,Tennis / Golf Mix Ticket,Alycia Parks,,,,WIN,1,0,0,
2026-02-05,TENNIS,Tennis / Golf Mix Ticket,Tallon Griekspoor,,,,LOSS,0,1,0,
2026-02-05,TENNIS,Tennis / Golf Mix Ticket,Ben Griffin,,,,WIN,1,0,0,
2026-02-05,TENNIS,Tennis / Golf Mix Ticket,Arthur Fils,,,,WIN,1,0,0,
2026-02-05,GOLF,Golf Props,Jacob Bridgeman,,,,WIN,1,0,0,
2026-02-05,GOLF,Golf Props,Marco Penge,,,,WIN,1,0,0,
2026-02-05,GOLF,Golf Props,Collin Morikawa,,,,LOSS,0,1,0,
2026-02-05,GOLF,Golf Props,Si Woo Kim,,,,WIN,1,0,0,
2026-02-05,GOLF,Golf Props,John Keefer,,,,WIN,1,0,0,
2026-02-05,GOLF,Golf Props,Sami Valimaki,,,,PENDING,0,0,1,
2026-02-05,NBA,NBA PRA Ticket (Partial Visibility),Brandon Ingram,,,,WIN,1,0,0,
2026-02-05,NBA,NBA PRA Ticket (Partial Visibility),Brandon Miller,,,,WIN,1,0,0,
2026-02-05,NBA,NBA PRA Ticket (Partial Visibility),Paolo Banchero,,,,WIN,1,0,0,
2026-02-05,NBA,NBA PRA Ticket (Partial Visibility),Q. Grimes,,,,PENDING,0,0,1,
2026-02-05,NBA,NBA PRA Ticket (Partial Visibility),CJ McCollum,,,,LOSS,0,1,0,
