
===========================================================================
  TENNIS PROPS CHEATSHEET
  Surface: HARD
  Generated: Wednesday, February 04, 2026 at 01:55 AM
===========================================================================

  SUMMARY
  -----------------------------------
  Total Playable:    151
  SLAM (70%+):       111
  STRONG (62-70%):   25
  LEAN (55-62%):     15

  [SLAM] *** (111 picks)
  ---------------------------------------------------------------------------
  PLAYER                   PICK                   LINE    PROB    n
  ---------------------------------------------------------------------------
  Tomas Machac             HIGHER sets_played     2.5     99%     22 [CORR]
  Tallon Griekspoor        HIGHER games_won       12.5    74%     17 [CORR]
  Ugo Humbert              HIGHER games_played    21.5    80%     20 [CORR]
  Ugo Humbert              HIGHER sets_played     2.5     99%     20 [CORR]
  Adrian Mannarino         HIGHER games_won       8.5     80%     15 [CORR]
  Tallon Griekspoor        HIGHER sets_played     2.5     99%     17 [CORR]
  Yasmine Kabbaj           HIGHER games_won       8.5     81%     10 [CORR]
  Adrian Mannarino         HIGHER sets_won        0.5     71%     15
  Belinda Bencic           HIGHER games_played    8.5     100%     10 [CORR]
  Belinda Bencic           HIGHER sets_played     2.5     99%     10 [CORR]
  Darja Semenistaja        HIGHER games_played    8.5     100%     10 [CORR]
  Darja Semenistaja        HIGHER sets_played     2.5     99%     10 [CORR]
  Lanlana Tararudee        HIGHER games_played    18.5    75%     10 [CORR]
  Mei Yamaguchi            HIGHER games_played    19.5    71%     10 [CORR]
  Mananchaya Sawangkaew    HIGHER games_played    19.5    73%     10 [CORR]
  Hanne Vandewinkel        HIGHER games_played    19.5    71%     10 [CORR]
  Stefano Travaglia        HIGHER sets_played     2.5     100%     10 [CORR]
  Federico Iannaccone      HIGHER sets_played     2.5     99%     10 [CORR]
  Francesco Maestrelli     HIGHER sets_played     2.5     99%     10 [CORR]
  Martin Damm              HIGHER sets_played     2.5     99%     10 [CORR]
  Tibo Colson              HIGHER sets_played     2.5     99%     10 [CORR]
  Petr Brunclik            HIGHER sets_played     2.5     99%     10 [CORR]
  Blake Ellis              HIGHER sets_played     2.5     99%     10 [CORR]
  Lilli Tagger             HIGHER sets_played     2.5     100%     10 [CORR]
  Hanne Vandewinkel        HIGHER sets_played     2.5     99%     10 [CORR]
  Patrick Zahraj           HIGHER sets_played     2.5     99%     10 [CORR]
  Borna Gojo               HIGHER sets_played     2.5     99%     10 [CORR]
  Mei Yamaguchi            HIGHER sets_played     2.5     99%     10 [CORR]
  Mananchaya Sawangkaew    HIGHER sets_played     2.5     99%     10 [CORR]
  Zdenek Kolar             HIGHER sets_played     2.5     99%     10 [CORR]
  Michael Mmoh             HIGHER sets_played     2.5     100%     10 [CORR]
  Remy Bertola             HIGHER sets_played     2.5     100%     10 [CORR]
  Max Wiskandt             HIGHER sets_played     2.5     99%     10 [CORR]
  George Loffhagen         HIGHER sets_played     2.5     99%     10 [CORR]
  Alexandra Eala           HIGHER sets_played     2.5     99%     10 [CORR]
  Daniel Masur             HIGHER sets_played     2.5     99%     10 [CORR]
  Nikola Bartunkova        HIGHER sets_played     2.5     99%     10 [CORR]
  Marvin Moeller           HIGHER sets_played     2.5     100%     10 [CORR]
  Antoine Ghibaudo         HIGHER sets_played     2.5     100%     10 [CORR]
  Stefan Dostanic          HIGHER sets_played     2.5     99%     10 [CORR]
  Tatiana Prozorova        HIGHER sets_played     2.5     100%     10 [CORR]
  Lanlana Tararudee        HIGHER sets_played     2.5     100%     10 [CORR]
  Daniel Merida Aguilar    HIGHER sets_played     2.5     99%     10 [CORR]
  Lorenzo Giustino         HIGHER sets_played     2.5     99%     10 [CORR]
  Tom Gentzsch             HIGHER sets_played     2.5     100%     10 [CORR]
  Stan Wawrinka            HIGHER games_won       12.5    86%     5 [CORR]
  Stan Wawrinka            HIGHER games_won       5.5     100%     5 [CORR]
  Luca Nardi               HIGHER games_won       5.5     97%     5 [CORR]
  Cruz Hewitt              HIGHER sets_played     2.5     100%     9 [CORR]
  Ekaterina Alexandrova    HIGHER games_won       5.5     98%     4 [CORR]
  Xin Yu Wang              HIGHER games_won       5.5     93%     3 [CORR]
  Emma Raducanu            HIGHER games_won       5.5     100%     3 [CORR]
  Anastasia Zakharova      HIGHER games_won       9.5     100%     3 [CORR]
  Aleksandar Kovacevic     HIGHER sets_played     2.5     99%     7 [CORR]
  Rebeka Masarova          HIGHER games_won       4.5     93%     2 [CORR]
  Maja Chwalinska          HIGHER sets_won        0.5     74%     10
  Nikoloz Basilashvili     HIGHER sets_won        0.5     92%     10
  Alexandra Eala           HIGHER sets_won        0.5     76%     10
  Daniel Masur             HIGHER sets_won        0.5     76%     10
  Marvin Moeller           HIGHER sets_won        0.5     89%     10
  Naoki Nakagawa           HIGHER sets_won        0.5     76%     10
  Pol Martin Tiffon        HIGHER sets_won        0.5     95%     10
  Javier Barranco Cosano   HIGHER sets_won        0.5     89%     10
  Max Wiskandt             HIGHER sets_won        0.5     76%     10
  Arthur Gea               HIGHER sets_won        0.5     76%     10
  Hamad Medjedovic         HIGHER games_won       12.5    90%     1 [CORR]
  Luca Nardi               HIGHER games_played    10.5    100%     5 [CORR]
  Luca Nardi               HIGHER sets_played     2.5     99%     5 [CORR]
  Olga Danilovic           HIGHER sets_played     2.5     99%     5 [CORR]
  Diane Parry              HIGHER sets_played     2.5     100%     5 [CORR]
  Liudmila Samsonova       HIGHER sets_played     2.5     99%     5 [CORR]
  Cruz Hewitt              HIGHER sets_won        0.5     75%     9
  Anastasia Potapova       HIGHER games_played    8.5     100%     4 [CORR]
  Anastasia Potapova       HIGHER sets_played     2.5     100%     4 [CORR]
  Ekaterina Alexandrova    HIGHER games_played    21.5    82%     4 [CORR]
  Ekaterina Alexandrova    HIGHER games_played    8.5     100%     4 [CORR]
  Ekaterina Alexandrova    HIGHER sets_played     2.5     100%     4 [CORR]
  Ekaterina Alexandrova    HIGHER aces            4.5     71%     4 [CORR]
  Ekaterina Alexandrova    HIGHER games_played    9.5     100%     4 [CORR]
  Jelena Ostapenko         HIGHER sets_played     2.5     100%     4 [CORR]
  Viktorija Golubic        HIGHER sets_played     2.5     99%     4 [CORR]
  Clara Tauson             HIGHER sets_played     2.5     99%     4 [CORR]
  Xin Yu Wang              HIGHER games_played    9.5     100%     3 [CORR]
  Xin Yu Wang              HIGHER sets_played     2.5     100%     3 [CORR]
  Emma Raducanu            HIGHER games_played    20.5    92%     3 [CORR]
  Emma Raducanu            HIGHER games_played    8.5     100%     3 [CORR]
  Emma Raducanu            HIGHER sets_played     2.5     99%     3 [CORR]
  Tamara Korpatsch         HIGHER sets_played     2.5     99%     3 [CORR]
  Alycia Parks             HIGHER sets_played     2.5     100%     3 [CORR]
  Dayana Yastremska        HIGHER sets_won        0.5     75%     7
  Pablo Carreno Busta      HIGHER sets_won        0.5     85%     7
  Henri Squire             HIGHER games_played    22.5    88%     2 [CORR]
  Rebecca Sramkova         HIGHER sets_played     2.5     99%     2 [CORR]
  Jaqueline Cristian       HIGHER sets_played     2.5     99%     2 [CORR]
  Henri Squire             HIGHER sets_played     2.5     99%     2 [CORR]
