================================================================================
        TENNIS PROPS - PRINTABLE CHEATSHEET
        Thursday, February 05, 2026
================================================================================


===========================================================================
  TENNIS PROPS CHEATSHEET
  Surface: HARD
  Generated: Thursday, February 05, 2026 at 05:31 AM
===========================================================================

  SUMMARY
  -----------------------------------
  Total Playable:    114
  SLAM (70%+):       78
  STRONG (62-70%):   28
  LEAN (55-62%):     8

  [SLAM] *** (78 picks)
  ---------------------------------------------------------------------------
  PLAYER                   PICK                   LINE    PROB    n
  ---------------------------------------------------------------------------
  Tallon Griekspoor        HIGHER games_won       12.5    74%     17 [CORR]
  Tallon Griekspoor        HIGHER games_won       5.5     98%     17 [CORR]
  Arthur Fils              HIGHER games_won       5.5     92%     15 [CORR]
  Flavio Cobolli           HIGHER games_won       12.5    71%     16 [CORR]
  Tallon Griekspoor        HIGHER games_played    10.5    100%     17 [CORR]
  Tallon Griekspoor        HIGHER sets_played     2.5     100%     17 [CORR]
  Arthur Fils              HIGHER games_played    10.5    100%     15 [CORR]
  Arthur Fils              HIGHER sets_played     2.5     99%     15 [CORR]
  Maja Chwalinska          HIGHER games_won       3.5     94%     10 [CORR]
  Tatiana Prozorova        HIGHER games_won       5.5     80%     10 [CORR]
  Oleksandra Oliynykova    HIGHER games_won       7.5     92%     10 [CORR]
  Oleksandra Oliynykova    HIGHER games_won       3.5     99%     10 [CORR]
  Kristiana Sidorova       HIGHER games_won       6.5     91%     10 [CORR]
  Kristiana Sidorova       HIGHER games_won       3.5     98%     10 [CORR]
  Alexandra Eala           HIGHER games_won       9.5     74%     10 [CORR]
  Lorenzo Rottoli          HIGHER games_won       9.5     73%     10 [CORR]
  Federico Iannaccone      HIGHER games_won       8.5     81%     10 [CORR]
  Flavio Cobolli           HIGHER sets_won        0.5     89%     16
  Tatiana Prozorova        HIGHER games_played    8.5     100%     10 [CORR]
  Stan Wawrinka            HIGHER games_won       11.5    92%     5 [CORR]
  Alycia Parks             HIGHER games_won       5.5     72%     3 [CORR]
  Xin Yu Wang              HIGHER games_won       5.5     92%     3 [CORR]
